t	S	I[0]	I[1]	I[2]	R
85	23	0		0		4		373
86	19	2		0		2		377
87	18	1		0		0		381
88	18	0		0		0		382
89	399	0		0		0		1
90	397	1		1		0		1
91	393	0		4		0		3
92	386	2		5		0		7
93	378	2		6		0		14
94	367	2		9		0		22
95	351	3		13		0		33
96	337	3		11		0		49
97	317	4		15		1		63
98	290	7		17		3		83
99	255	4		23		8		110
100	219	5		21		10		145
101	180	7		18		14		181
102	144	7		14		15		220
103	106	4		11		23		256
104	66	5		7		28		294
105	42	8		3		13		334
106	36	2		1		3		358
107	34	1		0		1		364
108	33	1		0		0		366
109	33	0		0		0		367
110	397	0		2		0		1
111	394	0		3		0		3
112	389	0		5		0		6
113	380	0		9		0		11
114	369	1		10		0		20
115	357	0		12		0		31
116	341	1		15		0		43
117	323	3		15		0		59
118	306	5		11		1		77
119	286	5		12		3		94
120	264	7		9		6		114
121	229	6		16		13		136
122	195	5		11		18		171
123	151	13		10		21		205
124	107	6		8		30		249
125	69	7		5		26		293
126	42	8		4		15		331
127	29	4		2		7		358
128	26	2		0		1		371
129	23	3		0		0		374
130	22	1		0		0		377
131	22	0		0		0		378
132	397	0		2		0		1
133	396	0		1		0		3
134	394	0		2		0		4
135	391	0		3		0		6
136	388	0		3		0		9
137	383	0		5		0		12
138	376	1		6		0		17
139	369	3		4		0		24
140	360	3		6		0		31
141	350	2		8		0		40
142	341	1		8		0		50
143	333	5		3		0		59
144	329	4		0		0		67
145	327	2		0		0		71
146	325	2		0		0		73
147	324	1		0		0		75
148	324	0		0		0		76
149	397	0		2		0		1
150	393	0		4		0		3
151	388	0		5		0		7
152	378	1		9		0		12
153	367	2		9		0		22
154	351	3		13		0		33
155	327	5		19		0		49
156	304	7		16		0		73
157	281	5		18		0		96
158	252	6		22		1		119
159	213	10		26		3		148
160	183	5		20		5		187
161	159	5		14		5		217
162	139	4		11		5		241
163	124	5		6		4		261
164	113	5		3		3		276
165	105	2		4		2		287
166	98	4		2		1		295
167	97	0		0		1		302
168	94	0		0		3		303
169	89	0		0		5		306
170	81	2		0		6		311
171	69	3		0		9		319
172	59	1		0		9		331
173	50	3		0		6		341
174	40	3		0		7		350
175	33	0		1		6		360
176	30	0		0		3		367
177	29	0		0		1		370
178	29	0		0		0		371
179	396	0		3		0		1
180	393	0		3		0		4
181	390	0		3		0		7
182	386	0		4		0		10
183	381	1		4		0		14
184	376	2		3		0		19
185	371	1		4		0		24
186	366	1		4		0		29
187	360	2		4		0		34
188	354	3		3		0		40
189	348	3		3		0		46
190	340	3		5		0		52
191	328	6		6		0		60
192	319	6		3		0		72
193	308	7		4		0		81
194	296	6		6		0		92
195	288	2		5		1		104
196	277	4		6		1		112
197	265	3		8		1		123
198	249	5		10		1		135
199	234	7		7		1		151
200	219	7		7		1		166
201	210	4		3		2		181
202	202	2		3		3		190
203	190	2		3		7		198
204	170	7		4		9		210
205	148	2		5		15		230
206	122	3		2		21		252
207	96	2		0		24		278
208	73	3		0		20		304
209	55	3		0		15		327
210	44	0		0		11		345
211	37	0		0		7		356
212	35	1		0		1		363
213	34	0		0		1		365
214	34	0		0		0		366
215	398	0		1		0		1
216	396	0		2		0		2
217	394	0		2		0		4
218	393	0		1		0		6
219	391	0		2		0		7
220	389	1		1		0		9
221	385	4		0		0		11
222	380	4		0		1		15
223	374	3		0		3		20
224	363	4		0		7		26
225	345	3		0		15		37
226	312	4		0		29		55
227	255	5		0		52		88
228	168	11		1		75		145
229	70	16		2		80		232
230	15	8		0		47		330
231	2	2		0		11		385
232	0	1		0		1		398
233	0	0		0		0		400
234	396	0		3		0		1
235	390	2		4		0		4
236	382	6		2		0		10
237	375	5		2		0		18
238	366	6		3		0		25
239	361	5		0		0		34
240	358	3		0		0		39
241	355	3		0		0		42
242	351	4		0		0		45
243	349	2		0		0		49
244	348	1		0		0		51
245	348	0		0		0		52
246	396	1		2		0		1
247	391	0		5		0		4
248	385	1		5		0		9
249	379	1		5		0		15
250	374	1		4		0		21
251	367	1		6		0		26
252	358	3		6		0		33
253	345	7		5		1		42
254	330	6		7		2		55
255	314	7		6		3		70
256	296	8		7		3		86
257	274	11		8		3		104
258	247	11		7		9		126
259	218	8		6		15		153
260	178	10		6		24		182
261	127	9		5		37		222
262	83	3		4		37		273
263	52	2		0		29		317
264	37	2		0		13		348
265	28	2		0		7		363
266	20	1		0		7		372
267	13	0		0		7		380
268	6	1		0		6		387
269	3	0		0		3		394
270	3	0		0		0		397
271	399	0		0		0		1
272	398	0		1		0		1
273	395	0		3		0		2
274	389	0		6		0		5
275	381	1		7		0		11
276	372	3		6		0		19
277	359	5		8		0		28
278	342	7		9		1		41
279	319	4		16		3		58
280	292	4		18		5		81
281	260	5		18		9		108
282	213	11		21		15		140
283	160	12		20		21		187
284	109	11		14		26		240
285	75	10		6		18		291
286	49	2		2		22		325
287	30	2		1		16		351
288	18	1		1		10		370
289	13	1		0		4		382
290	11	0		0		2		387
291	10	1		0		0		389
292	10	0		0		0		390
293	396	0		3		0		1
294	389	2		5		0		4
295	379	3		7		0		11
296	367	4		8		0		21
297	349	6		12		0		33
298	333	7		9		0		51
299	316	4		12		1		67
300	290	9		16		1		84
301	263	9		16		2		110
302	230	5		24		4		137
303	197	5		22		6		170
304	162	6		18		11		203
305	130	7		12		13		238
306	96	7		12		15		270
307	72	6		8		10		304
308	58	6		0		8		328
309	52	2		0		4		342
310	50	1		0		1		348
311	50	0		0		0		350
312	398	0		1		0		1
313	398	0		0		0		2
